org_id,org_name,likely_school_district,include_in_rollout,state,county
3184,100-297 Hs Grant,False,False,ND,
2823,A+ Charter Schools,True,True,TX,
1111,Abernathy ISD,True,True,TX,
2274,Abilene Independent School District,True,True,TX,Taylor County
2299,Academy ISD,True,True,TX,Bell County
2497,Ada-Borup-West School District,True,True,MN,Norman County
2676,Addison Public Library,False,False,IL,DuPage County
1990,Agua Dulce Independent School District,True,True,TX,
1530,Aitkin Public School District,True,True,MN,Aitkin County
1071,Akron-Fairgrove Schools,True,True,,Tuscola County
679,Alamo Colleges District,False,False,TX,Bexar County
713,Alamo Heights Independent School District,True,True,TX,Bexar County
2674,Alanson Public School,True,True,,
3972,Alaska Public Risk Alliance,False,False,,
1895,Alba-Golden ISD,True,True,TX,Wood County
1812,Albany Area Schools,True,True,MN,
3482,Albany ISD,True,True,TX,Shackelford County
1252,Albert Lea Area Schools,True,True,MN,Freeborn County
1722,Aldine ISD,True,True,TX,
871,Aledo ISD,True,True,TX,Parker County
2682,Alexander Public Schools,True,True,ND,McKenzie County
2072,Alexandria Township School District,True,True,NJ,Hunterdon County
1625,Algonac Community Schools,True,True,MI,St. Clair County
868,Alice ISD,True,True,TX,
770,Alief ISD,True,True,TX,Harris County
855,Allen Independent School District,True,True,TX,Collin County
1365,Alpena County,False,False,MI,Alpena County
2701,Alpena-Montmorency-Alcona ESD,True,True,,
2310,Alpine ISD,True,True,,
2548,Alsea Charter School,True,True,OR,Benton County
724,Alvarado ISD,True,True,TX,Johnson County
1295,Alvin Independent School District,True,True,TX,Brazoria County
1957,Amarillo College,False,False,TX,Potter County
1931,Amarillo ISD,True,True,TX,Potter County
1276,Amboy CUSD #272,False,False,IL,Lee County
2065,Amphitheater Public Schools,True,True,AZ,Pima County
1870,Anahuac Independent School District,True,True,TX,
633,Anderson-Shiro CISD,True,True,TX,
2752,Angelina College,False,False,TX,Angelina County
1874,Angleton Independent School District,True,True,TX,Brazoria County
849,Anna Independent School District,True,True,TX,
1608,Annawan Public Schools,True,True,IL,Henry County
1331,Annette Island School District,True,True,AK,Prince of Wales-Hyder Census Area
2720,Anoka-Hennepin School District 11,True,True,MN,Anoka County
2224,Anson ISD,True,True,TX,Jones County
819,Anthony ISD,True,True,TX,
1716,Antioch School District 34,True,True,IL,Lake County
2285,Anton ISD,True,True,,Hockley County
2211,Aquilla Independent School District,True,True,TX,Hill County
924,Aransas Pass ISD,True,True,TX,San Patricio County
2988,Archer City ISD,True,True,TX,Archer County
1709,Argo Community High School District 217,True,True,IL,Cook County
1395,Argyle ISD,True,True,TX,Denton County
1133,Arkansas Department of Education,False,False,AR,Pulaski County
2978,Arlington ISD,True,True,TX,
1862,Arp ISD,True,True,TX,
1537,Ashland School District,True,True,OR,Jackson County
2751,Ashley Community Schools,True,True,MI,Gratiot County
635,Athens Independent School District,True,True,TX,Henderson County
888,Atlanta ISD,True,True,TX,Cass County
1634,Au Gres-Sims School District,True,True,MI,Arenac County
1857,Aubrey Independent School District,True,True,TX,Denton County
4103,Austin Community College,False,False,,
2516,Austin Public Schools,True,True,MN,Mower County
3348,Austwell-Tivoli ISD,True,True,,
761,Avery ISD,True,True,TX,Red River County
1161,Avon-Washington Township Public Library,False,False,IN,
1367,Azle Independent School District,True,True,TX,Tarrant County
1824,Badger ISD 676,True,True,MN,Roseau County
1183,Bagley Public Schools,True,True,MN,Clearwater County
2000,Baird ISD,True,True,TX,Callahan County
2989,Bakken Area Skills Center,False,False,ND,
2632,Baldwin Community Schools,True,True,,
2226,Ballinger ISD,True,True,TX,Runnels County
2166,Balmorhea ISD,True,True,TX,
1846,Bandera Independent School District,True,True,TX,Bandera County
4134,Bangor Public Schools,True,True,,
1645,Bangor Township Schools,True,True,MI,Bay County
2613,Banks School District,True,True,OR,Washington County
1248,Bannockburn School District 106,True,True,,Lake County
1705,Banquete ISD,True,True,TX,Nueces County
1110,Barbers Hill Independent School District,True,True,TX,Chambers County
1533,Barnesville Public Schools,True,True,MN,Clay County
1020,Bartlett ISD,True,True,,
1914,Bastrop Independent School District,True,True,,
3309,Batesville School District,True,True,,
3210,Bath Community Schools,True,True,,
2646,Battle Creek Public Schools,True,True,,
2101,Bay City ISD,True,True,,
909,Bay-Arenac ISD,True,True,,
748,Beaumont ISD,True,True,,
3484,Beaver County School District,True,True,,
1443,Beaverton School District,True,True,,
1475,BECKER PUBLIC SCHOOLS,True,True,,
1964,Beckville ISD,True,True,,
1618,Bedford Public Schools,True,True,,
2183,Beeville ISD,True,True,,
2815,Belcourt School District #7,True,True,,
1062,Belding Area Schools,True,True,,
1400,Belle Plaine Public Schools,True,True,,
2225,Bells ISD,True,True,,
2334,Bellville ISD,True,True,,
1873,Belton Independent School District,True,True,,
2197,Ben Bolt - Palito Blanco ISD,True,True,,
2230,Benavides ISD,True,True,,
2413,Bend-La Pine Schools,True,True,,
1192,Benjamin School District 25,True,True,,
1584,Benson Public Schools ISD #777,True,True,,
2367,Benzie Central Schools,True,True,,
1635,Berrien RESA,True,True,,
1327,Berrien Springs Public Schools,True,True,,
1719,Berwyn North School District 98,True,True,,
1287,Berwyn South School District 100,True,True,,
1329,Bethalto CUSD #8,False,False,,
1761,Big Lake Schools,True,True,,
2347,Big Sandy ISD - Polk County,True,True,,
1918,Big Sandy ISD-Upshur County,True,True,,
723,Big Spring Independent School District,True,True,,
1627,Birch Run Area Schools,True,True,,
2178,Birdville Independent School District,True,True,,
2297,Bishop Consolidated Independent School District,True,True,,
1718,Bismarck-Henning CUSD #1,False,False,,
1963,Bismarck-Henning/Rossville-Alvin Cooperative High School,True,True,,
2514,Blachly School District,True,True,,
2113,Blackwell Consolidated Independent School District,True,True,,
1855,Blanco ISD,True,True,,
2075,Bland ISD,True,True,,
1319,Blinn College - Brenham Regular,False,False,,
2233,Bloomburg Independent School District,True,True,,
2463,Bloomfield Public Schools,True,True,,
1348,Blooming Grove ISD,True,True,,
3205,Bloomingdale Public Schools,True,True,,
1261,Bloomingdale School District 13,True,True,,
959,Bloomington Independent School District,True,True,,
1708,Blue Ridge CUSD #18,False,False,,
845,Blue Ridge ISD,True,True,,
2721,Bluff Dale ISD,True,True,,
2351,Blum ISD,True,True,,
1350,Boerne Independent School District,True,True,,
3004,BOLD Public Schools,True,True,,
1301,Boles ISD,True,True,,
866,Bonham ISD,True,True,,
1349,Bonneville Joint School District 93,True,True,,
1296,Borden County ISD,True,True,,
904,Borger ISD,True,True,,
2023,Boscobel Area Schools,True,True,,
1003,Bosqueville ISD,True,True,,
878,Bowie Independent School District,True,True,,
830,"Bowie-Cass Electric Cooperative, Inc.",False,False,,
1575,Box Elder School District,True,True,,
1606,Boyceville Community School District,True,True,,
1611,Boyd ISD,True,True,,
965,Boyne City Public Schools,True,True,,
697,Boys Ranch ISD,True,True,,
1723,Brackett ISD,True,True,,
1633,Brandon School District,True,True,,
1034,Brandywine Community Schools,True,True,,
1854,Brazosport College,False,False,,
877,Brazosport Independent School District,True,True,,
1647,Breckenridge ISD,True,True,,
1745,Breckenridge Public Schools 846,True,True,,
3355,Brecksville-Broadview Heights City Schools,True,True,,
3300,Breitung Township Schools,True,True,,
3269,Bremond ISD,True,True,,
1856,Brenham ISD,True,True,,
905,Bridge City Independent School District,True,True,,
647,Bridgeport ISD,True,True,,
2756,Bridgeport Public Schools,True,True,,
1060,Bridgman Public Schools,True,True,,
2615,Brighton Area Schools,True,True,,
2140,Bristol Bay Borough School District,True,True,,
2228,Broaddus ISD,True,True,,
803,Brock ISD,True,True,,
1715,Brookfield-LaGrange Park School District 95,True,True,,
1563,Brookings-Harbor School District 17C,True,True,,
1769,Brooklyn Center Schools,True,True,,
2026,Brooks,False,False,,
2016,Brooks County ISD,True,True,,
1714,Brookwood School District 167,True,True,,
674,Brownfield ISD,True,True,,
2060,Browning Public Schools,True,True,,
1273,Brownsboro ISD,True,True,,
2175,Brownsville ISD,True,True,,
988,Brownwood Independent School District,True,True,,
2246,Bryan Independent School District,True,True,,
2110,BSSD - Unalakleet,False,False,,
4071,Buckeye Union High School District,True,True,,
2350,Buckholts Independent School District,True,True,,
2599,Buckley Schools,True,True,,
712,Buena Vista ISD,True,True,,
2545,Buffalo ISD,True,True,,
1209,Buffalo-Hanover-Montrose Schools,True,True,,
2490,Bullard Independent School District,True,True,,
820,Buna Independent School District,True,True,,
1896,Burkburnett Independent School District,True,True,,
1892,Burkeville ISD,True,True,,
1384,Burleson ISD,True,True,,
1041,BURNET CONSOLIDATED I.S.D.,True,True,,
2694,Burnham School District 154.5,True,True,,
1113,Burnsville-Eagan-Savage ISD 191,True,True,,
2593,Burton ISD,True,True,,
1767,Bushland ISD,True,True,,
2116,Bynum ISD,True,True,,
1428,Byron Area Schools,True,True,,
930,Byron Center Public Schools,True,True,,
1970,C.O.O.R. Intermediate School District,True,True,,
669,Caddo Mills ISD,True,True,,
1497,Cahokia Unit School District 187,True,True,,
934,Calallen ISD,True,True,,
680,Caldwell ISD,True,True,,
2207,Calhoun County ISD,True,True,,
1122,Cambridge-Isanti Schools,True,True,,
1226,Cameron ISD,True,True,,
789,Canadian ISD,True,True,,
1036,Cannon Valley Special Education Cooperative,False,False,,
2194,Canton ISD,True,True,,
1679,Canton Union School District #66,True,True,,
864,Canutillo ISD,True,True,,
788,Canyon ISD,True,True,,
2093,Canyon-Owyhee School Service Agency,True,True,,
1712,Carbon Cliff - Barstow School District 36,True,True,,
1720,Carlinville CUSD #1,False,False,,
762,Carlisle ISD,True,True,,
3411,Carlton-Wrenshall ISD #2918,True,True,,
1885,Carmel Clay Public Library,False,False,,
861,Carrizo Springs C.I.S.D.,True,True,,
2522,Carrollton Public Schools,True,True,,
631,Carrollton-Farmers Branch ISD,True,True,,
1068,Carson City-Crystal Area Schools,True,True,,
1182,Carthage ISD,True,True,,
3361,Cary School District 26,True,True,,
1572,Cascade School District #5,True,True,,
2996,Cass City Public Schools,True,True,,
3890,Cass School District 63,True,True,,
1090,Castleberry Independent School District,True,True,,
1409,CCSD 89,False,False,,
1600,Cedar Hill ISD,True,True,,
1484,Cedar Springs Public Schools,True,True,,
1411,Celeste ISD,True,True,,
758,Celina Independent School District,True,True,,
1528,Centennial ISD 12,True,True,,
1561,Centennial School District,True,True,,
1490,Center Cass School District 66,True,True,,
651,Center ISD,True,True,,
1923,Center Point ISD,True,True,,
1311,Central CUSD 301,False,False,,
1517,Central Heights Independent School District,True,True,,
2291,Central ISD,True,True,,
1553,Central Point School District 6,True,True,,
2403,Central Public Schools,True,True,,
1243,Central School District 104,True,True,,
1507,Central School District 51,True,True,,
1989,Centreville Public Schools,True,True,,
2790,Century School District 100,True,True,,
791,Channelview ISD,True,True,,
1760,Chapel Hill ISD -Titus County,True,True,,
1759,Chapel Hill ISD-Smith County,True,True,,
2499,Charlevoix-Emmet ISD,True,True,,
1031,Charlotte Public Schools,True,True,,
2647,Chatham School District,True,True,,
3215,Cheboygan Area Schools,True,True,,
911,Chelsea School District,True,True,,
1583,Cherokee Independent School District,True,True,,
2687,Chester ISD,True,True,,
2255,Chico ISD,True,True,,
2242,Childress ISD,True,True,,
1853,Chilton ISD,True,True,,
2238,China Spring ISD,True,True,,
1066,Chisago Lakes School District 2144,True,True,,
840,Chisholm School District,True,True,,
2316,Chisum ISD,True,True,,
1754,Christoval ISD,True,True,,
2598,Chugach School District,True,True,,
1197,Churchill County School District,True,True,,
1488,Cicero School District 99,True,True,,
2366,City of Hayden,False,False,,
3006,City of Karnes City,False,False,,
2503,City of Ouray,False,False,,
2080,City of Stewartville,False,False,,
2633,City Of Watford,False,False,,
694,City of Waverly,False,False,,
581,City School District,True,True,,
3606,City School District 2,True,True,,
2280,City View ISD,True,True,,
1412,Clackamas Community College,False,False,,
1547,Clackamas Education Service District,False,False,,
731,Clarksville ISD,True,True,,
1169,Claude ISD,True,True,,
2057,Clayton School District,True,True,,
1940,Clear Creek ISD,True,True,,
1684,Cleburne Independent School District,True,True,,
1682,Cleveland ISD,True,True,,
2475,Cleveland Public School,True,True,,
2177,Clifton ISD,True,True,,
2506,Climax-Scotts Community Schools,True,True,,
1831,Climax-Shelly ISD 592,True,True,,
919,Clint Independent School District,True,True,,
3191,Clinton Community Schools,True,True,,
2714,Clinton County RESA,True,True,,
2467,Clinton Public Schools,True,True,,
1481,Clio Area Schools,True,True,,
1149,Cloquet Public Schools,True,True,,
661,Clyde CISD,True,True,,
984,Coahoma ISD,True,True,,
2027,Coastal Bend College,False,False,,
672,Coldspring-Oakhurst CISD,True,True,,
2575,College of Lake County,False,False,,
3322,College of Lake County Foundation,False,False,,
2271,College of the Mainland,False,False,,
1010,Collin College,False,False,,
1231,Collinsville CUSD #10,False,False,,
2262,Collinsville ISD,True,True,,
2243,Colorado ISD,True,True,,
1290,Columbia - Brazoria ISD,True,True,,
1211,Columbia Heights Public Schools,True,True,,
1798,Columbus Independent School District,True,True,,
1083,Comal ISD,True,True,,
664,Comanche ISD,True,True,,
652,Comfort ISD,True,True,,
1127,Commerce ISD,True,True,,
1514,Community Consolidated School District 180,True,True,,
2677,Community Consolidated School District 59,True,True,,
1266,Community Consolidated School District 93,True,True,,
3238,Community High School District 128,True,True,,
1717,Community High School District 218,True,True,,
1499,Community High School District 94,True,True,,
1208,Community ISD,True,True,,
1453,Community Unit School District 300,True,True,,
2314,Como-Pickton CISD,True,True,,
3324,Compass Academy Charter School,True,True,,
1037,Comstock Public Schools,True,True,,
2626,Concept Schools - Horizon Science Academy Twin Cities,True,True,,
2355,Concept Schools - Minnesota Math and Science Academy,True,True,,
1623,Concord Community Schools,True,True,,
690,Connally ISD,True,True,,
2392,Constantine Public Schools,True,True,,
2031,Consumer Bankers Association,False,False,,
3902,Cook County Land Bank Authority,False,False,,
1792,Cook County School District 104,True,True,,
2277,Cooper ISD,True,True,,
1721,Coppell Independent School District,True,True,,
2693,Copper Country ISD,True,True,,
665,Copperas Cove Independent School District,True,True,,
1554,Corbett School District,True,True,,
2046,Cordova School District,True,True,,
898,CORPUS CHRISTI INDEPENDENT SCHOOL DISTRICT,True,True,,
1701,Corrigan-Camden ISD,True,True,,
642,Corsicana Independent School District,True,True,,
1522,Corunna Public Schools,True,True,,
1216,Corvallis School District 509J,True,True,,
638,Cotulla ISD,True,True,,
582,County School District,True,True,,
618,County School District 2,True,True,,
2596,County School District 3,True,True,,
3900,County School District 4,True,True,,
2722,County School District TEST,True,True,,
2708,Coupland Independent School District,True,True,,
2424,Coventry Board of Education,False,False,,
1506,Covert Public Schools,True,True,,
1930,Covington ISD,True,True,,
1845,Craig City School District,True,True,,
2100,Crandall ISD,True,True,,
1866,Cranfills Gap ISD,True,True,,
2983,Crawford ISD,True,True,,
1521,Crestwood School District,True,True,,
1558,Creswell School District,True,True,,
1408,Crete-Monee Board of Education,False,False,,
857,Crockett County Consolidated Common School District,True,True,,
891,Crockett Independent School District,True,True,,
1822,Cromwell-Wright School,True,True,,
1018,Crosby ISD,True,True,,
1067,Crosby-Ironton ISD #182,True,True,,
972,Crosbyton CISD,True,True,,
2668,Cross Plains ISD,True,True,,
2096,Cross Roads Independent School District,True,True,,
978,Crosslake Community Schools,True,True,,
655,Crowell ISD,True,True,,
1587,Crystal City Independent School District,True,True,,
3323,Crystal Lake Elementary,False,False,,
718,Cuero Independent School District,True,True,,
2249,Culberson County - Allamoore ISD,True,True,,
2114,Cumby Collegiate ISD,True,True,,
3932,Cushing ISD,True,True,,
668,Cypress-Fairbanks ISD,True,True,,
1315,D.C. Everest Area School District,True,True,,
986,Daingerfield-Lone Star ISD,True,True,,
1495,Dakota Community Unit District 201,False,False,,
1129,Dalhart ISD,True,True,,
2353,Dallas School District,True,True,,
1945,Damon Independent School District,True,True,,
944,Danbury Independent School District,True,True,,
1734,Danville CCSD 118,False,False,,
2826,Darien Public Schools District #61,True,True,,
1581,Darlington Community School District,True,True,,
1916,Darrouzett ISD,True,True,,
914,Davis School District,True,True,,
2573,Dawson-Boyd Public Schools,True,True,,
639,Dayton Independent School District,True,True,,
648,Decatur ISD,True,True,,
2476,Deer River Schools ISD 317,True,True,,
1747,Deerfield Public School District 109,True,True,,
892,DeKalb ISD,True,True,,
675,Del Valle ISD,True,True,,
1338,Delano Public Schools,True,True,,
1300,Dell City Independent School District,True,True,,
1632,Delta College,False,False,,
2625,Demo - Litchfield Community District 12,False,False,,
3907,Denali Borough School District,True,True,,
774,Denison ISD,True,True,,
949,Denton ISD,True,True,,
1942,Denver City Independent School District,True,True,,
947,DeSoto Independent School District,True,True,,
1724,Detroit ISD,True,True,,
2364,Detroit Lakes Public Schools,True,True,,
745,Devers ISD,True,True,,
955,Devine ISD,True,True,,
1865,Dew ISD,True,True,,
746,Deweyville ISD,True,True,,
1616,DeWitt Public Schools,True,True,,
990,D'Hanis Independent School District,True,True,,
1733,Diamond Lake School District 76,True,True,,
2232,Diboll ISD,True,True,,
2257,Dickinson Independent School District,True,True,,
1100,Dickinson-Iron Intermediate School District,True,True,,
852,Dilley Independent School District,True,True,,
1775,Dillingham City School District,True,True,,
773,Dime Box ISD,True,True,,
3044,Divide County School District,True,True,,
2485,Divide ISD,True,True,,
1258,Dixon Public Schools #170,True,True,,
2571,Dolton School District 149,True,True,,
1299,Donna Independent School District,True,True,,
1354,Doss CCSD,False,False,,
1502,Douglas County School District,True,True,,
1551,Douglas Education Service District,False,False,,
2252,Douglass ISD,True,True,,
3404,Downers Grove Grade School District 58,True,True,,
634,DRIPPING SPRINGS INDEPENDENT SCHOOL DISTRICT,True,True,,
1438,Driscoll ISD,True,True,,
865,Dublin Independent School District,True,True,,
1429,Duchesne County School District,True,True,,
963,Duluth Public Schools,True,True,,
1196,Dumas Independent School District,True,True,,
858,Duncanville ISD,True,True,,
1093,Dundee Community Schools,True,True,,
1250,Dunlap School District 323,True,True,,
1727,DuPage Area Occupational Education System,False,False,,
1320,DuPage High School District 88,True,True,,
1741,Dupo CUSD 196,False,False,,
1097,Durand Area Schools,True,True,,
1017,Eagle Mountain-Saginaw ISD,True,True,,
2009,Eagle Pass ISD,True,True,,
1542,Eagle Point School District 9,True,True,,
2033,Early ISD,True,True,,
1665,East Aurora School District 131,True,True,,
715,East Chambers ISD,True,True,,
2609,East China School District,True,True,,
1524,East Grand Forks Public Schools,True,True,,
1629,East Lansing Public Schools,True,True,,
2651,East Mississippi Community College,False,False,,
1688,East Moline School District 37,True,True,,
2279,East Mountain High School,True,True,,
1159,Eastern Carver County Schools,True,True,,
2786,Eastern Upper Peninsula Intermediate School District,True,True,,
3317,Eastland ISD,True,True,,
1944,Eastpointe Community Schools,True,True,,
1639,Eaton RESA,True,True,,
1749,ECHO Joint Agreement,False,False,,
1406,Ector County Independent School District,True,True,,
2492,Ector ISD,True,True,,
1455,Edcouch-Elsa ISD,True,True,,
2821,Eddyville Charter School,True,True,,
1816,Eden Valley-Watkins Schools,True,True,,
844,Edgewood ISD-Bexar County,True,True,,
1298,Edgewood ISD-Van Zandt County,True,True,,
2636,Edina Public Schools,True,True,,
1750,Edinburg Community Unit School District #4,True,True,,
1044,Edinburg Consolidated Independent School District,True,True,,
1614,Edna ISD,True,True,,
1949,Education Service Center Region 13,False,False,,
1988,"Education Service Center, Region 20",False,False,,
1670,Effingham Community Schools,True,True,,
901,El Campo Independent School District,True,True,,
2552,Electra Independent School District,True,True,,
2387,Elk Rapids Schools,True,True,,
1307,Elkhart ISD,True,True,,
2644,Elysian Fields ISD,True,True,,
3325,Emmons School District 33,True,True,,
862,Ennis ISD,True,True,,
846,Era ISD,True,True,,
2123,Española Public Schools District #55,True,True,,
1566,Estacada School District,True,True,,
2064,Estancia Municipal Schools,True,True,,
1549,Eugene School District 4J,True,True,,
722,Eustace ISD,True,True,,
2044,Evadale ISD,True,True,,
1479,Evanston Township High School District 202,True,True,,
1247,Evanston/Skokie School District 65,True,True,,
2017,Evansville Vanderburgh Public Library,False,False,,
1843,Evant ISD,True,True,,
1748,Evergreen Park Elementary SD124,False,False,,
1454,Everman ISD,True,True,,
3314,Exceptional Learners Collaborative,False,False,,
4068,Ezzell ISD,True,True,,
1346,Fabens ISD,True,True,,
695,Fairfield ISD,True,True,,
1937,Falls City ISD,True,True,,
1291,FALLS Education CO-OP,False,False,,
1125,Faribault Public Schools,True,True,,
1008,Farmersville ISD,True,True,,
1154,Farmington Municipal Schools,True,True,,
1087,Farmington Public Schools,True,True,,
1064,Fayetteville Independent School District,True,True,,
1427,FENTON COMMUNITY HIGH SCHOOL DISTRICT 100,True,True,,
1535,Fern Ridge SD 28J,False,False,,
1323,Ferndale Public Schools,True,True,,
2326,Ferris ISD,True,True,,
2038,First 5 LA,False,False,,
2119,First 5 Riverside,False,False,,
1609,Flat Rock Community Schools,True,True,,
1774,Flatonia ISD,True,True,,
1324,Flint Community Schools,True,True,,
1132,Floodwood School District #698,True,True,,
677,Florence Independent School District,True,True,,
1706,Floresville ISD,True,True,,
1439,Flour Bluff Independent School District,True,True,,
2287,Floydada Collegiate ISD,True,True,,
1823,Foley ISD 51,True,True,,
2021,Follett ISD,True,True,,
3194,Forest Grove School District,True,True,,
691,Forest Hills Public Schools,True,True,,
1059,Forest Lake Area Schools,True,True,,
4067,Forest Park Schools,True,True,,
637,Forney ISD,True,True,,
1249,Forrestville Valley School District 221,True,True,,
834,Forsan ISD,True,True,,
649,Fort Bend Independent School District,True,True,,
2300,Fort Hancock Independent School District,True,True,,
1984,Fort Sam Houston ISD,True,True,,
1150,Fort Smith Public Schools,True,True,,
733,Fort Worth ISD,True,True,,
2001,Four Rivers Special Education District,False,False,,
2308,Frank Phillips College,False,False,,
1726,Frankfort CUSD 168,False,False,,
3252,Franklin Community Schools,True,True,,
3218,Franklin Independent School District,True,True,,
2208,FRANKSTON ISD,True,True,,
1115,Fraser Public Schools,True,True,,
1088,"Frazee-Vergas Public Schools, ISD 23",True,True,,
2070,Frederic School District,True,True,,
825,Fredericksburg ISD,True,True,,
1317,Freeland Community School District,True,True,,
1001,Freer ISD,True,True,,
1732,Fremont School District No. 79,True,True,,
1114,Fridley Public Schools,True,True,,
2126,Friendship Public Charter School,True,True,,
3892,Friendswood ISD,True,True,,
1262,Friona ISD,True,True,,
2014,Frisco ISD,True,True,,
2331,Frost ISD,True,True,,
2482,Fruitport Community Schools,True,True,,
1938,Fruitvale ISD,True,True,,
